Distance,Height,Angle,PathLoss,
137.96,1.45,0,NaN,95.0758012912
131.51,1.45,0.074567,109.66,94.6549477353
131.31,1.45,0.076975,109.91,94.6416349656
131.11,1.45,0.079391,109.86,94.6283078848
130.91,1.45,0.081817,109.65,94.6149678725
130.72,1.45,0.084252,109.84,94.6023661882
130.52,1.45,0.086696,110.24,94.5890000823
130.32,1.45,0.08915,110.72,94.5756210758
130.12,1.45,0.091612,110.17,94.562227798
129.92,1.45,0.094083,109.56,94.5488209467
129.72,1.45,0.096563,109.29,94.5354005306
129.52,1.45,0.099051,109.61,94.521965864
129.32,1.45,0.10155,110.15,94.5085190388
129.12,1.45,0.10406,110.34,94.4950600698
128.92,1.45,0.10658,109.94,94.4815882748
128.72,1.45,0.1091,109.59,94.4680966818
128.52,1.45,0.11164,109.82,94.4545992607
128.32,1.45,0.11419,110.16,94.4410890498
128.12,1.45,0.11674,109.91,94.4275590468
127.92,1.45,0.11931,109.18,94.4140232829
127.72,1.45,0.12188,109.02,94.400467731
127.52,1.45,0.12447,109.18,94.3869064635
127.32,1.45,0.12706,109.3,94.3733254124
127.12,1.45,0.12967,NaN,94.3597386911
20.745,1.45,8.6413,110.32,91.8908109164
20.85,1.45,8.59,110.24,91.8555470357
20.954,1.45,8.5392,110.32,91.8205346484
21.058,1.45,8.4888,NaN,91.7857846964
118.72,1.45,0.24646,110.12,93.7763939271
118.88,1.45,0.24403,111.19,93.7876794832
119.04,1.45,0.2416,NaN,93.7989524924
119.37,1.45,0.23677,109.07,93.8222993091
119.54,1.45,0.23436,110.73,93.8343637374
119.7,1.45,0.23196,109.83,93.8456071367
119.86,1.45,0.22956,112.38,93.856837982
120.03,1.45,0.22717,109.98,93.8688759459
120.19,1.45,0.22478,116.92,93.8800882173
120.69,1.45,0.21755,110.45,93.915222404
120.86,1.45,0.21519,111.67,93.9272124554
121.02,1.45,0.21282,110.95,93.9383741595
121.19,1.45,0.21047,110.62,93.9503436964
121.35,1.45,0.20812,110.19,93.9614941488
121.52,1.45,0.20577,110.54,93.9734357935
121.68,1.45,0.20343,111.54,93.984567598
121.84,1.45,0.2011,111.37,93.9956941935
122.01,1.45,0.19877,110.51,94.0076091927
122.18,1.45,0.19644,109.43,94.0195097701
122.34,1.45,0.19413,110.9,94.0306115418
122.67,1.45,0.1895,111.54,94.0535673234
122.84,1.45,0.1872,110.33,94.0654340716
123,1.45,0.1849,110.43,94.0764911212
123.17,1.45,0.18261,111.18,94.0883372717
123.33,1.45,0.18032,111.36,94.0993755968
123.5,1.45,0.17804,111.12,94.111201138
123.66,1.45,0.17576,110.21,94.1222207255
123.83,1.45,0.17348,110.3,94.1340184101
124,1.45,0.17122,110.79,94.1458161531
124.16,1.45,0.16895,111.32,94.1568035526
124.33,1.45,0.1667,110.47,94.1685806499
124.5,1.45,0.16444,NaN,94.1803361295
