Distance,Height,Angle,PathLoss,
343.86,1.8,0,NaN,101.5535708483
311.48,1.8,0.047577,108.93,101.2669026848
311.34,1.8,0.047806,109.56,101.2652428825
311.2,1.8,0.048035,110.47,101.2635800965
311.06,1.8,0.048266,112.59,101.2619145545
310.92,1.8,0.048496,113.42,101.2602459201
310.78,1.8,0.048728,111.96,101.2585745346
310.63,1.8,0.048959,111.01,101.2567784692
310.49,1.8,0.049192,110.54,101.2551010331
310.35,1.8,0.049425,110.81,101.2534206256
310.21,1.8,0.049658,112.2,101.2517372482
310.06,1.8,0.049892,114.67,101.24992855
309.78,1.8,0.050361,115.42,101.2465468743
309.63,1.8,0.050597,NaN,101.2447286366
303.6,1.8,0.060701,108.93,101.1689000233
303.45,1.8,0.060961,109.68,101.1669450753
303.29,1.8,0.061223,110.82,101.1648541824
303.14,1.8,0.061485,112.07,101.1628924782
302.99,1.8,0.061747,112.19,101.1609273867
302.83,1.8,0.062011,110.48,101.1588256458
302.68,1.8,0.062275,109.75,101.1568537946
302.53,1.8,0.06254,109.63,101.1548786773
302.37,1.8,0.062805,110.22,101.1527659579
302.22,1.8,0.063071,111.55,101.1507839528
302.06,1.8,0.063338,112.82,101.148663993
301.91,1.8,0.063605,112.42,101.1466750963
301.75,1.8,0.063874,110.76,101.1445478924
301.6,1.8,0.064142,109.37,101.1425520998
301.44,1.8,0.064412,109.17,101.1404175227
301.28,1.8,0.064682,110.25,101.1382790715
301.13,1.8,0.064953,112.28,101.1362729991
300.97,1.8,0.065225,113.5,101.1341272921
300.81,1.8,0.065497,112.36,101.1319777064
300.66,1.8,0.06577,111.48,101.1299612179
300.5,1.8,0.066044,110.81,101.1278043681
300.34,1.8,0.066319,111.15,101.1256437611
300.19,1.8,0.066594,112.55,101.1236168439
300.03,1.8,0.06687,114.65,101.1214488373
299.87,1.8,0.067147,113.91,101.1192770684
299.71,1.8,0.067425,112,101.1171015358
299.55,1.8,0.067703,110.65,101.1149221098
299.39,1.8,0.067982,110.43,101.1127389162
299.23,1.8,0.068261,117.46,101.1105518249
298.76,1.8,0.069105,110.3,101.1041078268
298.59,1.8,0.069387,111.61,101.1017657228
298.43,1.8,0.069671,112.71,101.0995597533
298.27,1.8,0.069955,112.56,101.0973498727
298.11,1.8,0.07024,NaN,101.0951362079
297.95,1.8,0.070537,108.48,101.0929201857
297.78,1.8,0.070823,NaN,101.0905575265
297.62,1.8,0.071122,109.09,101.088333683
297.45,1.8,0.07141,110.38,101.0859626785
297.29,1.8,0.071699,110.27,101.0837294344
297.13,1.8,0.071988,109.99,101.0814922607
296.97,1.8,0.072278,108.91,101.0792512856
296.8,1.8,0.072569,108.36,101.0768636861
296.64,1.8,0.07286,108.76,101.074614719
296.48,1.8,0.073152,109.63,101.0723619424
296.31,1.8,0.073445,110.67,101.069961766
296.15,1.8,0.073739,110.84,101.0677011118
295.99,1.8,0.074034,111.04,101.0654366402
295.82,1.8,0.074329,110.66,101.0630238588
295.66,1.8,0.074625,110.75,101.0607513593
295.49,1.8,0.074921,110.8,101.0583300244
295.33,1.8,0.075219,112.31,101.0560496174
295.16,1.8,0.075517,113.86,101.0536198485
294.83,1.8,0.076116,112.79,101.0488931715
294.67,1.8,0.076416,112.62,101.0465966434
294.5,1.8,0.076718,113.89,101.0441499659
294.33,1.8,0.07702,NaN,101.041698783
293.66,1.8,0.078248,NaN,101.0319994133
242.8,1.8,0.19053,109,100.0643016393
242.58,1.8,0.19111,110.76,100.05896936
242.37,1.8,0.19168,108.2,100.0538723772
242.15,1.8,0.19226,108.45,100.0485174312
241.94,1.8,0.19284,115.55,100.0434010761
241.51,1.8,0.194,116.54,100.0328852928
241.06,1.8,0.19519,113.4,100.0218270482
240.63,1.8,0.19636,NaN,100.0112219885
239.98,1.8,0.19815,116.05,99.9951106157
239.54,1.8,0.19934,NaN,99.9841407502
238.88,1.8,0.20116,NaN,99.9676049282
238.43,1.8,0.20239,NaN,99.9562662646
237.99,1.8,0.20363,NaN,99.9451398778
237.54,1.8,0.20487,111.01,99.9337040729
237.32,1.8,0.20548,NaN,99.9280957272
237.1,1.8,0.20612,111.75,99.9224824661
236.88,1.8,0.20673,111.25,99.916849871
236.66,1.8,0.20735,109.63,99.9112075196
236.44,1.8,0.20796,112.94,99.905550569
236.22,1.8,0.20858,109.95,99.8998838247
236,1.8,0.2092,110.13,99.8942048504
235.78,1.8,0.20982,NaN,99.8885136221
235.33,1.8,0.21109,111.53,99.8768346493
235.11,1.8,0.21172,111.93,99.8711084035
234.89,1.8,0.21235,110.89,99.8653698164
234.67,1.8,0.21298,118.18,99.859618864
234.01,1.8,0.21488,112.43,99.8422940469
233.79,1.8,0.21552,115.82,99.836495876
233.34,1.8,0.21679,NaN,99.8245873539
232.67,1.8,0.21875,116.63,99.8067768932
232.22,1.8,0.22005,NaN,99.7947449606
206.9,1.8,0.30303,NaN,99.029043718
206.18,1.8,0.30565,NaN,99.0045279949
205.93,1.8,0.30661,115.51,98.9959928374
205.69,1.8,0.30749,NaN,98.9877666368
5.2932,1.8,30.806,108.33,100.9230293787
5.0634,1.8,32.398,108.5,101.1363389655
4.838,1.8,34.139,109.45,101.3360661789
4.6175,1.8,36.049,NaN,101.5206229558
3.2673,1.8,56.763,112.77,102.3105453633
3.1288,1.8,60.941,NaN,102.3507743011
3.2834,1.8,6.3281,110.04,88.234873585
3.4394,1.8,2.5482,109.12,83.5957522362
3.609,1.8,0.89093,NaN,81.3090158267
3.7982,1.8,4.1346,NaN,85.7083799234
3.9983,1.8,7.0616,101.89,89.1179593931
4.1993,1.8,9.6022,100.48,91.6326373008
4.4079,1.8,11.907,99.697,93.5705945769
4.6229,1.8,14.001,99.736,95.0693897515
4.8435,1.8,15.906,100.56,96.2364995358
5.069,1.8,17.643,101.52,97.1541713698
5.2986,1.8,19.23,NaN,97.8831839799
5.5417,1.8,20.742,100.55,98.4907763362
5.7783,1.8,22.072,99.748,98.9622795185
6.0178,1.8,23.297,110.71,99.3495893927
6.5,1.8,25.458,106.36,99.935950571
6.736,1.8,26.39,108.07,100.154972902
6.9687,1.8,27.242,107.33,100.3392375618
7.1995,1.8,28.028,104.76,100.4966852275
7.4335,1.8,28.77,104.57,100.6350267539
7.6685,1.8,29.467,107.42,100.7564460027
7.8862,1.8,30.072,105.98,100.8555472713
8.1073,1.8,30.652,104.09,100.945357551
8.3243,1.8,31.189,NaN,101.0242154815
8.5496,1.8,31.716,104.12,101.0977870904
8.7659,1.8,32.195,102.67,101.161530698
8.9831,1.8,32.651,105.97,101.2195739517
9.1995,1.8,33.084,108.26,101.2723966756
9.4147,1.8,33.493,116.05,101.3203352314
9.8455,1.8,34.256,109.96,101.404923253
10.061,1.8,34.613,106.21,101.4424354386
10.275,1.8,34.952,103.32,101.476897863
10.49,1.8,35.277,102.41,101.508919396
10.704,1.8,35.587,NaN,101.5385580322
10.926,1.8,35.896,105.51,101.5672439699
11.141,1.8,36.184,109.84,101.5932310939
11.356,1.8,36.459,NaN,101.6174072983
11.58,1.8,36.736,106.51,101.6411240186
11.795,1.8,36.991,105.31,101.6624237158
12.01,1.8,37.236,107.92,101.6824195623
12.224,1.8,37.471,NaN,101.7011754481
12.882,1.8,38.145,NaN,101.7527452593
13.993,1.8,39.136,105.46,101.8230090992
14.208,1.8,39.31,102.35,101.8347050063
14.424,1.8,39.479,NaN,101.8458958234
14.649,1.8,39.649,100.27,101.8569898413
14.864,1.8,39.808,NaN,101.8672042418
15.086,1.8,39.966,99.633,101.8772250299
15.304,1.8,40.117,99.81,101.8866703764
15.518,1.8,40.261,100.27,101.8955636436
15.736,1.8,40.404,101.03,101.9042831165
15.95,1.8,40.54,102.03,101.9124817945
16.168,1.8,40.676,NaN,101.9205753752
16.392,1.8,40.81,105.04,101.9284766478
16.608,1.8,40.937,106.34,101.9358724162
16.825,1.8,41.061,108.2,101.9430208941
17.041,1.8,41.181,108.66,101.9498719183
17.258,1.8,41.299,110.67,101.956538775
17.475,1.8,41.414,109.74,101.9629753246
17.692,1.8,41.525,108.03,101.9691429486
17.909,1.8,41.634,107.09,101.9751397727
18.126,1.8,41.741,108.55,101.9809703336
18.343,1.8,41.845,NaN,101.9865952473
18.786,1.8,42.049,111.13,101.997506816
19.003,1.8,42.146,109.37,102.0026303204
19.22,1.8,42.241,NaN,102.0076100122
19.664,1.8,42.427,109.51,102.0172783129
19.882,1.8,42.516,112.67,102.0218507285
20.1,1.8,42.602,113.19,102.0262531087
20.317,1.8,42.687,38.3,102.0305644489
