Distance,Height,Angle,PathLoss,
432.96,1.88,0,99.789,65.3943172479
432.96,1.88,0,NaN,65.3943172479
432.96,1.88,0,99.761,65.3943172479
432.96,1.88,0,99.691,65.3943172479
432.96,1.88,0,NaN,65.3943172479
432.96,1.88,0,NaN,65.3943172479
432.96,1.88,0,99.502,65.3943172479
432.96,1.88,0,NaN,65.3943172479
432.96,1.88,0,99.488,65.3943172479
432.96,1.88,0,99.516,65.3943172479
432.96,1.88,0,NaN,65.3943172479
432.95,1.88,0,99.539,65.4125725617
432.95,1.88,0,NaN,65.4125725617
432.95,1.88,0,99.722,65.4125725617
432.95,1.88,0,99.709,65.4125725617
432.95,1.88,0,99.694,65.4125725617
432.95,1.88,0,99.698,65.4125725617
432.95,1.88,0,NaN,65.4125725617
432.95,1.88,0,99.694,65.4125725617
432.95,1.88,0,99.63,65.4125725617
432.94,1.88,0,99.491,65.4308236816
432.94,1.88,0,99.529,65.4308236816
432.94,1.88,0,99.461,65.4308236816
432.94,1.88,0,NaN,65.4308236816
432.94,1.88,0,99.5,65.4308236816
432.94,1.88,0,99.456,65.4308236816
432.94,1.88,0,NaN,65.4308236816
432.93,1.88,0,NaN,65.4490706037
432.93,1.88,0,99.652,65.4490706037
432.93,1.88,0,99.646,65.4490706037
432.93,1.88,0,99.699,65.4490706037
432.93,1.88,0,99.561,65.4490706037
432.92,1.88,0,99.575,65.4673133239
432.92,1.88,0,NaN,65.4673133239
432.92,1.88,0,99.505,65.4673133239
432.92,1.88,0,NaN,65.4673133239
432.92,1.88,0,99.579,65.4673133239
432.91,1.88,0,99.699,65.4855518383
432.91,1.88,0,99.737,65.4855518383
432.91,1.88,0,NaN,65.4855518383
432.91,1.88,0,99.736,65.4855518383
432.9,1.88,0,99.598,65.5037861431
432.9,1.88,0,NaN,65.5037861431
432.9,1.88,0,99.482,65.5037861431
432.89,1.88,0,99.507,65.5220162344
432.89,1.88,0,99.55,65.5220162344
432.89,1.88,0,99.531,65.5220162344
432.89,1.88,0,99.638,65.5220162344
432.88,1.88,0,NaN,65.5402421081
432.88,1.88,0,NaN,65.5402421081
432.88,1.88,0,99.71,65.5402421081
432.87,1.88,0,99.747,65.5584637603
432.87,1.88,0,NaN,65.5584637603
432.87,1.88,0,99.738,65.5584637603
432.86,1.88,0,NaN,65.5766811873
432.86,1.88,0,99.697,65.5766811873
